year,value
01/01/1960,69.12390244
01/01/1961,69.7602439
01/01/1962,69.1497561
01/01/1963,69.24804878
01/01/1964,70.31170732
01/01/1965,70.17170732
01/01/1966,70.92609756
01/01/1967,70.95658537
01/01/1968,70.78
01/01/1969,70.81195122
01/01/1970,71.55878049
01/01/1971,71.80682927
01/01/1972,72.07536585
01/01/1973,72.02634146
01/01/1974,72.73439024
01/01/1975,72.64731707
01/01/1976,72.99195122
01/01/1977,73.36463415
01/01/1978,73.69317073
01/01/1979,74.00268293
01/01/1980,73.94317073
01/01/1981,74.35390244
01/01/1982,74.81463415
01/01/1983,74.6402439
01/01/1984,75.3895122
01/01/1985,75.47073171
01/01/1986,75.77073171
01/01/1987,76.2195122
01/01/1988,76.37073171
01/01/1989,76.8195122
01/01/1990,76.97073171
01/01/1991,77.0195122
01/01/1992,77.4195122
01/01/1993,77.72195122
01/01/1994,77.92195122
01/01/1995,78.17073171
01/01/1996,78.52195122
01/01/1997,78.82439024
01/01/1998,78.97560976
01/01/1999,79.42439024
01/01/2000,79.77804878
01/01/2001,80.12682927
01/01/2002,80.22926829
01/01/2003,79.98292683
01/01/2004,80.7804878
01/01/2005,80.78292683
01/01/2006,81.28292683
01/01/2007,81.43414634
01/01/2008,81.48536585
01/01/2009,81.63658537
01/01/2010,82.03658537
01/01/2011,82.18780488
01/01/2012,82.23902439
01/01/2013,82.6902439
01/01/2014,83.0902439
01/01/2015,82.54390244
01/01/2016,83.24390244
01/01/2017,82.94634146
01/01/2018,83.34634146
01/01/2019,83.19756098
